Timestamp;Cins;Geri_Qayidacaqmi;Tovsiye_Edecekmi;region_bucket;Stadionda neçə sponsor reklamı gördünüz?;Sual;Reytinq
2025-03-18 12:33:41.752;Kişi;Xeyr;Xeyr;Qeyd olunmayıb;3;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:13:15.059;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:20:37.727;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 16:46:29.588;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;7.00
2025-03-18 12:16:27.531;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:35:45.410;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 12:53:44.805;Kişi;Bəli;Bəli;Qeyd olunmayıb;0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-17 19:51:21.764;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:50:58.885;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 21:23:00.569;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-24 20:58:29.613;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:21:52.390;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-18 12:41:43.087;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;5.00
2025-03-18 12:14:12.843;Kişi;Bəli;Xeyr;Qeyd olunmayıb;0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:31:33.868;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;3.00
2025-03-19 12:10:48.106;Kişi;Bəli;Bəli;Digər (Bakı və s.);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 17:14:43.878;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:49:28.734;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;7.00
2025-03-18 16:52:15.572;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:28:12.118;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-18 16:39:54.236;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 13:36:33.909;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 17:02:24.019;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:14:04.675;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;7.00
2025-03-18 14:23:23.752;Kişi;Xeyr;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:31:16.726;Kişi;Xeyr;Bəli;Tovuz şəhəri;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-18 15:06:38.239;Kişi;Bəli;Bəli;Tovuz şəhəri;0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:38:33.242;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:53:41.806;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-18 14:16:36.876;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:12:25.467;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-19 15:07:10.598;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-19 15:08:39.700;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:47:30.394;Kişi;Bəli;Bəli;Tovuz şəhəri;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;7.00
2025-03-18 14:00:07.404;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;4.00
2025-03-18 12:45:45.457;Kişi;Bəli;Bəli;Qeyd olunmayıb;0;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:31:10.748;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-19 15:47:08.896;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:57:01.184;Kişi;Bəli;Bəli;Qeyd olunmayıb;3;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:07:38.943;Qadın;Bəli;Bəli;Qeyd olunmayıb;3;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 14:06:35.732;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:44:32.298;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 12:46:55.111;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:54:26.549;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:46:38.504;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:32:44.205;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:02:28.512;Qadın;Bəli;Bəli;Qeyd olunmayıb;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:06:11.826;Qadın;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:55:36.203;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:39:40.470;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 13:55:34.562;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 16:28:49.937;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:33:41.752;Kişi;Xeyr;Xeyr;Qeyd olunmayıb;3;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;9.00
2025-03-18 12:13:15.059;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:20:37.727;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 16:46:29.588;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:16:27.531;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:35:45.410;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 12:53:44.805;Kişi;Bəli;Bəli;Qeyd olunmayıb;0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-17 19:51:21.764;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;5.00
2025-03-18 14:50:58.885;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 21:23:00.569;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-24 20:58:29.613;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:21:52.390;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 12:41:43.087;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;7.00
2025-03-18 12:14:12.843;Kişi;Bəli;Xeyr;Qeyd olunmayıb;0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:31:33.868;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;6.00
2025-03-19 12:10:48.106;Kişi;Bəli;Bəli;Digər (Bakı və s.);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 17:14:43.878;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:49:28.734;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;9.00
2025-03-18 16:52:15.572;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:28:12.118;Kişi;Xeyr;Xeyr;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;9.00
2025-03-18 16:39:54.236;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 13:36:33.909;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 17:02:24.019;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:14:04.675;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;7.00
2025-03-18 14:23:23.752;Kişi;Xeyr;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:31:16.726;Kişi;Xeyr;Bəli;Tovuz şəhəri;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 15:06:38.239;Kişi;Bəli;Bəli;Tovuz şəhəri;0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:38:33.242;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:53:41.806;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:16:36.876;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:12:25.467;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;9.00
2025-03-19 15:07:10.598;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;6.00
2025-03-19 15:08:39.700;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:47:30.394;Kişi;Bəli;Bəli;Tovuz şəhəri;2;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;7.00
2025-03-18 14:00:07.404;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;8.00
2025-03-18 12:45:45.457;Kişi;Bəli;Bəli;Qeyd olunmayıb;0;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;10.00
