Timestamp;Cins;Geri_Qayidacaqmi;Tovsiye_Edecekmi;region_bucket;Stadionda neçə sponsor reklamı gördünüz?;Sual;Reytinq
2025-03-18 13:36:33.909;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 17:02:24.019;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 12:14:04.675;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);0;Bilet alma prosesini necə qiymətləndirirsiniz?;7.00
2025-03-18 14:23:23.752;Kişi;Xeyr;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:31:16.726;Kişi;Xeyr;Bəli;Tovuz şəhəri;2;Bilet alma prosesini necə qiymətləndirirsiniz?;9.00
2025-03-18 15:06:38.239;Kişi;Bəli;Bəli;Tovuz şəhəri;0;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:38:33.242;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 13:53:41.806;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:16:36.876;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-18 14:12:25.467;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:07:10.598;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:08:39.700;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet alma prosesini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:47:30.394;Kişi;Bəli;Bəli;Tovuz şəhəri;2;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:00:07.404;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet alma prosesini necə qiymətləndirirsiniz?;7.00
2025-03-18 12:45:45.457;Kişi;Bəli;Bəli;Qeyd olunmayıb;0;Bilet alma prosesini necə qiymətləndirirsiniz?;5.00
2025-03-17 20:31:10.748;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet alma prosesini necə qiymətləndirirsiniz?;8.00
2025-03-19 15:47:08.896;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;7.00
2025-03-18 12:57:01.184;Kişi;Bəli;Bəli;Qeyd olunmayıb;3;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:07:38.943;Qadın;Bəli;Bəli;Qeyd olunmayıb;3;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 14:06:35.732;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-17 20:44:32.298;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 12:46:55.111;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:54:26.549;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;9.00
2025-03-18 13:46:38.504;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 15:32:44.205;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;5.00
2025-03-17 20:02:28.512;Qadın;Bəli;Bəli;Qeyd olunmayıb;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:06:11.826;Qadın;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-19 11:55:36.203;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);2;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;8.00
2025-03-18 14:39:40.470;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;4.00
2025-03-18 13:55:34.562;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
2025-03-18 16:28:49.937;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;10.00
